node,pagerank,authority,hub,in_degree,out_degree
2,0.025401951933057026,-5.0821890119420735e-18,8.383968803847368e-19,31,31
226411,0.0029878643909506475,0.05897815859360813,3.1063044045307247e-06,82,20
105607,0.002193101069575614,0.05538740120717214,0.005046751270893247,58,35
234704,0.002147532969562227,0.05625072532604161,0.0033861239522542112,61,23
38342,0.002129817022758035,0.054257555913255005,0.014954016883765794,55,27
167295,0.0020514753678415394,0.055061121733642124,0.001569326769879458,55,12
76448,0.002033061366889763,-3.176368132463796e-19,-9.015020219190711e-21,3,3
41825,0.002033061366889763,-0.0,-1.8030040438381422e-20,3,3
180949,0.002033061366889763,-0.0,-1.8030040438381422e-20,3,3
13,0.002033061366889763,-3.176368132463796e-19,-9.015020219190711e-21,3,3
124470,0.0019180890560228157,0.00041375345441269833,0.0039276605272207015,7,68
81435,0.0018824612730162673,0.05517623867729166,0.0017288208452287087,55,16
198090,0.0018824612730162673,0.05517623867729166,0.0017115063587983372,55,19
214128,0.0018824612730162673,0.05517623867729166,0.0017375540276186512,55,16
34573,0.0018291455436581269,0.05487325095095815,0.003129292142448961,54,7
245659,0.0017579219167365569,0.05398418141031389,0.01480889304809692,53,21
38,0.0016249496404022402,-1.9852300827898725e-20,-7.042984546242743e-23,2,2
225872,0.0015587402785180965,8.513310435168536e-06,6.614716781706825e-05,21,189
35,0.0015185645050534964,-0.0,-2.7045060657572126e-20,5,6
140928,0.0015185645050534964,-3.176368132463796e-19,-4.05675909863582e-20,5,6
